,x_top_left,y_top_left,x_top_right,y_top_right,x_bot_left,y_bot_left,x_bot_right,y_bot_right,custom_center_x,custom_center_y,left_height,top_width,right_height,bot_width,dist_to_top_left,dist_to_bot_left,dist_to_top_right,dist_to_bot_right,smoothed_y_top_left,smoothed_y_top_right,smoothed_y_bot_left,smoothed_y_bot_right,cos_alpha,angle,smoothed_center_x,smoothed_center_y
366,1014.78065,186.81958,1204.16438,198.20473,1013.11604,214.51005,1202.49977,225.89519,1108.64021,206.35739,27.7494,189.79025,27.7494,189.79025,95.87149,95.87144,95.87144,95.87149,186.64566,198.14964,214.39447,225.87742,0.0,89.9999,1109.76672,206.27205
367,1011.65638,186.99834,1200.57205,198.40292,1009.98625,214.66239,1198.90192,226.06698,1105.27915,206.53266,27.68696,189.288,27.68696,189.288,95.63897,95.63906,95.63906,95.63897,186.89406,198.39758,214.58987,226.05905,-0.0,90.00018,1105.42574,206.49373
368,1008.05278,187.20172,1196.50902,198.6077,1006.38582,214.74838,1194.84205,226.15435,1101.44742,206.67804,27.63018,188.73313,27.63018,188.73313,95.4038,95.40355,95.40356,95.4038,187.15839,198.65571,214.79585,226.25117,1e-05,89.99949,1100.41911,206.72578
369,1003.39516,187.48513,1191.25358,198.85209,1001.7304,214.99552,1189.58882,226.36248,1096.49199,206.9238,27.57476,188.11782,27.57476,188.11782,95.10458,95.10474,95.10474,95.10458,187.44946,198.92551,215.02063,226.45337,-1e-05,90.00033,1094.66267,206.97307
370,998.15205,187.74804,1185.37921,199.15392,996.48008,215.18566,1183.70723,226.59154,1090.92964,207.16979,27.52124,187.43046,27.52124,187.43046,94.78864,94.7891,94.7891,94.78864,187.76469,199.20598,215.26506,226.66475,-2e-05,90.00097,1088.07084,207.23552
371,992.14062,188.02515,1178.59994,199.45781,990.46061,215.41134,1176.91993,226.844,1084.53027,207.43458,27.46889,186.66866,27.46889,186.66866,94.40643,94.40726,94.40726,94.40643,188.10188,199.49994,215.5288,226.88375,-3e-05,90.00175,1080.5842,207.51437
372,984.56202,188.29954,1170.2364,199.82279,982.86488,215.62588,1168.53925,227.14914,1076.55064,207.72434,27.41268,185.83285,27.41268,185.83285,94.01717,94.01838,94.01838,94.01717,188.46034,199.804,215.81193,227.11923,-4e-05,90.00256,1072.14292,207.80797
373,976.17837,188.59337,1160.83626,200.14957,974.46893,215.89183,1159.12682,227.44803,1067.65259,208.0207,27.35135,184.92872,27.35135,184.92871,93.51447,93.51551,93.51551,93.51447,188.84098,200.11784,216.11198,227.36835,-4e-05,90.0022,1062.70551,208.11491
374,966.74924,188.96295,1150.43664,200.45416,965.04304,216.22586,1148.73044,227.71708,1057.73984,208.34001,27.28216,183.95767,27.28216,183.95767,93.03096,93.03163,93.03163,93.03096,189.24324,200.44433,216.43266,227.63223,-2e-05,90.00141,1052.23715,208.43849
375,955.47731,189.41807,1138.0622,200.74062,953.79057,216.61455,1136.37547,227.9371,1045.92639,208.67759,27.1983,182.9137,27.1983,182.9137,92.47683,92.47705,92.47705,92.47683,189.66974,200.78645,216.77389,227.90472,-1e-05,90.00045,1040.71111,208.78017
376,943.24007,189.89572,1124.74382,201.07091,941.56917,217.02867,1123.07292,228.20385,1033.15649,209.04979,27.10711,181.79553,27.10711,181.79553,91.9339,91.93422,91.93422,91.9339,190.11797,201.14484,217.1358,228.1881,-1e-05,90.00068,1028.13463,209.14032
377,929.87731,190.45884,1110.15652,201.43944,928.23166,217.47752,1108.51086,228.45812,1019.19409,209.45848,27.01314,180.60618,27.01314,180.60618,91.31524,91.31521,91.31521,91.31524,190.59084,201.52172,217.51942,228.48655,0.0,89.99994,1014.50905,209.52057
378,914.78947,191.00967,1093.80668,201.85908,913.15991,217.89793,1092.17712,228.74734,1003.4833,209.8785,26.91729,179.37263,26.91729,179.37263,90.6787,90.67869,90.67869,90.6787,191.08899,201.92116,217.92367,228.79159,0.0,89.99997,999.85632,209.92241
379,898.90856,191.65665,1076.68359,202.27006,897.31115,218.41715,1075.08618,229.03056,986.99737,210.3436,26.80647,178.12009,26.80647,178.12009,90.0491,90.04888,90.04888,90.0491,191.61316,202.3413,218.34939,229.09036,1e-05,89.99953,984.23893,210.34534
380,882.20295,192.20863,1058.7617,202.75297,880.61233,218.83351,1057.17107,229.37785,969.68701,210.79324,26.69108,176.85721,26.69108,176.8572,89.43628,89.43682,89.43682,89.43628,192.16237,202.78234,218.79279,229.39755,-2e-05,90.00117,967.69864,210.78757
381,864.29274,192.79423,1039.60555,203.31309,862.70334,219.2667,1038.01614,229.78556,951.15444,211.2899,26.56785,175.59749,26.56785,175.59749,88.80903,88.81006,88.81007,88.80903,192.73794,203.24525,219.25468,229.71654,-4e-05,90.00225,950.31797,211.24997
382,846.14348,193.42704,1020.20148,203.76209,844.57785,219.77592,1018.63584,230.11098,932.38966,211.76901,26.44151,174.34895,26.44151,174.34895,88.175,88.1761,88.17611,88.175,193.34382,203.72912,219.73961,230.05149,-4e-05,90.00242,932.18948,211.73437
383,827.52065,194.06174,1000.28506,204.21517,825.97895,220.28245,998.74335,230.43588,913.132,212.24881,26.30974,173.12811,26.30974,173.1281,87.52184,87.52254,87.52254,87.52184,193.97627,204.23193,220.24777,230.40747,-3e-05,90.00153,913.37416,212.23985
