,x_top_left,y_top_left,x_top_right,y_top_right,x_bot_left,y_bot_left,x_bot_right,y_bot_right
115,438.18865966796875,197.4418182373047,618.7943725585938,207.01939392089844,436.71759033203125,225.18199157714844,617.3233032226562,234.7595672607422
116,441.17572021484375,197.61952209472656,620.0436401367188,206.91136169433594,439.74456787109375,225.16856384277344,618.6124877929688,234.4604034423828
117,444.11810302734375,197.69839477539062,621.2420654296875,206.78164672851562,442.7055969238281,225.2413330078125,619.8295288085938,234.3245849609375
118,445.06488037109375,197.7032470703125,623.6683959960938,206.6334228515625,443.68585205078125,225.2843017578125,622.2893676757812,234.2144775390625
119,448.12005615234375,197.67860412597656,624.2523193359375,206.7888946533203,446.6951904296875,225.22560119628906,622.8274536132812,234.3358917236328
120,451.196044921875,197.4216766357422,626.3140869140625,207.01719665527344,449.6753845214844,225.17396545410156,624.79345703125,234.7694854736328
121,453.11737060546875,197.7301788330078,627.203369140625,206.73463439941406,451.6925048828125,225.2771759033203,625.7785034179688,234.28163146972656
122,456.19140625,197.33172607421875,628.3402099609375,206.31338500976562,454.7340393066406,225.26437377929688,626.8828125,234.24603271484375
123,459.12432861328125,197.63812255859375,629.2320556640625,206.59115600585938,457.657470703125,225.50830078125,627.7651977539062,234.46133422851562
124,460.41180419921875,198.35296630859375,629.837158203125,206.42083740234375,459.0950927734375,226.00454711914062,628.5204467773438,234.07241821289062
125,464.1744384765625,197.72930908203125,630.3018798828125,206.58944702148438,462.6995544433594,225.38397216796875,628.8270263671875,234.24411010742188
126,467.3052978515625,197.4276885986328,631.401611328125,206.4192657470703,465.7786560058594,225.2892303466797,629.875,234.2808074951172
127,469.402587890625,197.65219116210938,632.3927001953125,206.58316040039062,467.8879089355469,225.29522705078125,630.8780517578125,234.2261962890625
128,473.96844482421875,197.98756408691406,634.98681640625,206.6444549560547,472.4927673339844,225.4351043701172,633.5111694335938,234.0919952392578
129,478.23333740234375,197.8582305908203,636.42138671875,206.77024841308594,476.700439453125,225.06764221191406,634.8884887695312,233.9796600341797
130,480.3031005859375,197.77117919921875,638.4527587890625,206.93927001953125,478.723876953125,225.01296997070312,636.87353515625,234.18106079101562
131,485.27264404296875,197.4342041015625,669.0,212.0,483.6335754394531,224.88858032226562,669.0,220.0
132,490.224609375,197.9569091796875,672.0,210.0,488.6984558105469,225.42767333984375,672.0,222.0
133,492.232666015625,197.92758178710938,675.0,210.0,490.6606140136719,225.437744140625,675.0,225.0
134,496.8758544921875,198.11033630371094,680.0,209.0,495.248291015625,225.77931213378906,680.0,229.0
135,501.311279296875,197.9750518798828,684.0,210.0,499.5943298339844,225.6916961669922,684.0,233.0
136,503.26153564453125,198.29229736328125,684.75390625,208.03079223632812,501.7138366699219,226.1507568359375,687.800048828125,232.4000244140625
137,507.201416015625,198.77149963378906,689.0,209.0,505.8756103515625,226.61314392089844,689.0,234.0
138,510.224609375,198.9569091796875,692.4822998046875,209.72938537597656,508.7138671875,226.1507568359375,690.588134765625,234.35292053222656
139,510.7855224609375,199.28929138183594,693.5870361328125,210.0102081298828,509.4189758300781,226.62095642089844,690.67236328125,234.7849578857422
140,512.53369140625,199.32667541503906,694.0,210.0,511.1571044921875,226.8578643798828,694.0,234.0
141,514.2115478515625,199.12063598632812,695.0,210.0,512.7105712890625,226.63876342773438,695.0,234.0
142,514.5580444335938,199.39779663085938,696.0,210.0,513.1188354492188,226.74310302734375,696.0,235.0
143,517.1896362304688,199.54888916015625,698.0,209.0,515.6991577148438,226.67578125,698.0,234.0
144,519.5123901367188,200.41189575195312,700.0,210.0,518.2058715820312,227.41317749023438,700.0,234.0
145,520.3729248046875,199.9143524169922,701.0,210.0,518.9503173828125,226.9447479248047,701.0,234.0
146,523.3004760742188,199.83139038085938,703.0,210.0,521.7454223632812,226.57818603515625,703.0,234.0
147,525.2906494140625,199.82528686523438,705.0,210.0,523.77734375,226.76275634765625,705.0,234.0
148,526.2333374023438,200.39157104492188,706.0,209.0,524.8569946289062,227.57504272460938,706.0,234.0
149,528.224609375,199.95692443847656,708.5431518554688,210.3959197998047,526.719970703125,227.0399932861328,706.6903686523438,236.3350067138672
